Edad simple;Comunidades y ciudades autónomas;Sexo;Periodo;Total
Todas las edades;01 Andalucía;Total;1 de julio de 2020;8.465.909
Todas las edades;01 Andalucía;Total;1 de enero de 2020;8.461.039
Todas las edades;01 Andalucía;Total;1 de julio de 2019;8.432.071
Todas las edades;01 Andalucía;Total;1 de enero de 2019;8.412.222
Todas las edades;01 Andalucía;Total;1 de julio de 2018;8.392.082
Todas las edades;01 Andalucía;Total;1 de enero de 2018;8.396.464
Todas las edades;01 Andalucía;Total;1 de julio de 2017;8.388.352
Todas las edades;01 Andalucía;Total;1 de enero de 2017;8.394.017
Todas las edades;01 Andalucía;Total;1 de julio de 2016;8.390.669
Todas las edades;01 Andalucía;Total;1 de enero de 2016;8.392.046
Todas las edades;01 Andalucía;Total;1 de julio de 2015;8.386.083
Todas las edades;01 Andalucía;Total;1 de enero de 2015;8.388.994
Todas las edades;01 Andalucía;Total;1 de julio de 2014;8.381.448
Todas las edades;01 Andalucía;Total;1 de enero de 2014;8.381.239
Todas las edades;01 Andalucía;Total;1 de julio de 2013;8.381.323
Todas las edades;01 Andalucía;Total;1 de enero de 2013;8.387.986
Todas las edades;01 Andalucía;Total;1 de julio de 2012;8.378.277
Todas las edades;01 Andalucía;Total;1 de enero de 2012;8.377.809
Todas las edades;01 Andalucía;Total;1 de julio de 2011;8.352.752
Todas las edades;01 Andalucía;Total;1 de enero de 2011;8.332.087
Todas las edades;01 Andalucía;Total;1 de julio de 2010;8.302.917
Todas las edades;01 Andalucía;Total;1 de enero de 2010;8.276.017
Todas las edades;01 Andalucía;Total;1 de julio de 2009;8.244.507
Todas las edades;01 Andalucía;Total;1 de enero de 2009;8.212.986
Todas las edades;01 Andalucía;Total;1 de julio de 2008;8.168.647
Todas las edades;01 Andalucía;Total;1 de enero de 2008;8.118.575
Todas las edades;01 Andalucía;Total;1 de julio de 2007;8.052.762
Todas las edades;01 Andalucía;Total;1 de enero de 2007;7.986.597
Todas las edades;01 Andalucía;Total;1 de julio de 2006;7.923.886
Todas las edades;01 Andalucía;Total;1 de enero de 2006;7.865.775
Todas las edades;01 Andalucía;Total;1 de julio de 2005;7.803.425
Todas las edades;01 Andalucía;Total;1 de enero de 2005;7.730.705
Todas las edades;01 Andalucía;Total;1 de julio de 2004;7.648.984
Todas las edades;01 Andalucía;Total;1 de enero de 2004;7.596.513
Todas las edades;01 Andalucía;Total;1 de julio de 2003;7.544.160
Todas las edades;01 Andalucía;Total;1 de enero de 2003;7.490.858
Todas las edades;01 Andalucía;Total;1 de julio de 2002;7.437.168
Todas las edades;01 Andalucía;Total;1 de enero de 2002;7.391.401
Todas las edades;01 Andalucía;Total;1 de julio de 2001;7.341.497
Todas las edades;01 Andalucía;Total;1 de enero de 2001;7.323.031
Todas las edades;01 Andalucía;Total;1 de julio de 2000;7.301.781
Todas las edades;01 Andalucía;Total;1 de enero de 2000;7.285.993
Todas las edades;01 Andalucía;Hombres;1 de julio de 2020;4.174.047
Todas las edades;01 Andalucía;Hombres;1 de enero de 2020;4.172.773
Todas las edades;01 Andalucía;Hombres;1 de julio de 2019;4.159.563
Todas las edades;01 Andalucía;Hombres;1 de enero de 2019;4.150.733
Todas las edades;01 Andalucía;Hombres;1 de julio de 2018;4.142.044
Todas las edades;01 Andalucía;Hombres;1 de enero de 2018;4.145.478
Todas las edades;01 Andalucía;Hombres;1 de julio de 2017;4.143.295
Todas las edades;01 Andalucía;Hombres;1 de enero de 2017;4.147.238
Todas las edades;01 Andalucía;Hombres;1 de julio de 2016;4.147.004
Todas las edades;01 Andalucía;Hombres;1 de enero de 2016;4.148.415
Todas las edades;01 Andalucía;Hombres;1 de julio de 2015;4.145.938
Todas las edades;01 Andalucía;Hombres;1 de enero de 2015;4.147.731
Todas las edades;01 Andalucía;Hombres;1 de julio de 2014;4.145.159
Todas las edades;01 Andalucía;Hombres;1 de enero de 2014;4.146.169
Todas las edades;01 Andalucía;Hombres;1 de julio de 2013;4.148.023
Todas las edades;01 Andalucía;Hombres;1 de enero de 2013;4.153.357
Todas las edades;01 Andalucía;Hombres;1 de julio de 2012;4.150.766
Todas las edades;01 Andalucía;Hombres;1 de enero de 2012;4.152.488
Todas las edades;01 Andalucía;Hombres;1 de julio de 2011;4.140.994
Todas las edades;01 Andalucía;Hombres;1 de enero de 2011;4.131.060
Todas las edades;01 Andalucía;Hombres;1 de julio de 2010;4.116.689
Todas las edades;01 Andalucía;Hombres;1 de enero de 2010;4.103.593
Todas las edades;01 Andalucía;Hombres;1 de julio de 2009;4.088.774
Todas las edades;01 Andalucía;Hombres;1 de enero de 2009;4.073.370
Todas las edades;01 Andalucía;Hombres;1 de julio de 2008;4.050.568
Todas las edades;01 Andalucía;Hombres;1 de enero de 2008;4.025.027
Todas las edades;01 Andalucía;Hombres;1 de julio de 2007;3.990.782
Todas las edades;01 Andalucía;Hombres;1 de enero de 2007;3.957.069
Todas las edades;01 Andalucía;Hombres;1 de julio de 2006;3.925.905
Todas las edades;01 Andalucía;Hombres;1 de enero de 2006;3.896.219
Todas las edades;01 Andalucía;Hombres;1 de julio de 2005;3.863.987
Todas las edades;01 Andalucía;Hombres;1 de enero de 2005;3.822.474
Todas las edades;01 Andalucía;Hombres;1 de julio de 2004;3.776.303
Todas las edades;01 Andalucía;Hombres;1 de enero de 2004;3.748.929
Todas las edades;01 Andalucía;Hombres;1 de julio de 2003;3.721.975
Todas las edades;01 Andalucía;Hombres;1 de enero de 2003;3.693.714
Todas las edades;01 Andalucía;Hombres;1 de julio de 2002;3.665.955
Todas las edades;01 Andalucía;Hombres;1 de enero de 2002;3.641.925
Todas las edades;01 Andalucía;Hombres;1 de julio de 2001;3.614.331
Todas las edades;01 Andalucía;Hombres;1 de enero de 2001;3.605.582
Todas las edades;01 Andalucía;Hombres;1 de julio de 2000;3.595.019
Todas las edades;01 Andalucía;Hombres;1 de enero de 2000;3.587.108
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2020;4.291.862
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2020;4.288.266
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2019;4.272.508
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2019;4.261.489
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2018;4.250.038
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2018;4.250.986
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2017;4.245.057
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2017;4.246.779
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2016;4.243.665
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2016;4.243.631
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2015;4.240.145
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2015;4.241.263
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2014;4.236.289
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2014;4.235.070
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2013;4.233.300
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2013;4.234.629
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2012;4.227.511
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2012;4.225.322
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2011;4.211.758
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2011;4.201.028
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2010;4.186.229
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2010;4.172.424
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2009;4.155.733
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2009;4.139.616
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2008;4.118.078
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2008;4.093.548
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2007;4.061.980
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2007;4.029.528
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2006;3.997.981
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2006;3.969.556
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2005;3.939.437
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2005;3.908.231
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2004;3.872.681
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2004;3.847.584
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2003;3.822.185
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2003;3.797.144
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2002;3.771.213
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2002;3.749.477
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2001;3.727.167
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2001;3.717.449
Todas las edades;01 Andalucía;Mujeres;1 de julio de 2000;3.706.762
Todas las edades;01 Andalucía;Mujeres;1 de enero de 2000;3.698.885
Todas las edades;02 Aragón;Total;1 de julio de 2020;1.331.544
Todas las edades;02 Aragón;Total;1 de enero de 2020;1.330.592
Todas las edades;02 Aragón;Total;1 de julio de 2019;1.324.409
Todas las edades;02 Aragón;Total;1 de enero de 2019;1.320.694
Todas las edades;02 Aragón;Total;1 de julio de 2018;1.315.878
Todas las edades;02 Aragón;Total;1 de enero de 2018;1.313.493
Todas las edades;02 Aragón;Total;1 de julio de 2017;1.315.332
Todas las edades;02 Aragón;Total;1 de enero de 2017;1.315.411
Todas las edades;02 Aragón;Total;1 de julio de 2016;1.316.238
Todas las edades;02 Aragón;Total;1 de enero de 2016;1.318.042
Todas las edades;02 Aragón;Total;1 de julio de 2015;1.320.887
Todas las edades;02 Aragón;Total;1 de enero de 2015;1.325.600
Todas las edades;02 Aragón;Total;1 de julio de 2014;1.327.609
Todas las edades;02 Aragón;Total;1 de enero de 2014;1.330.713
Todas las edades;02 Aragón;Total;1 de julio de 2013;1.333.951
Todas las edades;02 Aragón;Total;1 de enero de 2013;1.337.675
Todas las edades;02 Aragón;Total;1 de julio de 2012;1.339.987
Todas las edades;02 Aragón;Total;1 de enero de 2012;1.343.790
Todas las edades;02 Aragón;Total;1 de julio de 2011;1.344.466
Todas las edades;02 Aragón;Total;1 de enero de 2011;1.344.396
Todas las edades;02 Aragón;Total;1 de julio de 2010;1.343.835
Todas las edades;02 Aragón;Total;1 de enero de 2010;1.344.184
Todas las edades;02 Aragón;Total;1 de julio de 2009;1.344.483
Todas las edades;02 Aragón;Total;1 de enero de 2009;1.342.778
Todas las edades;02 Aragón;Total;1 de julio de 2008;1.336.383
Todas las edades;02 Aragón;Total;1 de enero de 2008;1.325.426
Todas las edades;02 Aragón;Total;1 de julio de 2007;1.309.383
Todas las edades;02 Aragón;Total;1 de enero de 2007;1.294.246
Todas las edades;02 Aragón;Total;1 de julio de 2006;1.282.960
Todas las edades;02 Aragón;Total;1 de enero de 2006;1.273.568
Todas las edades;02 Aragón;Total;1 de julio de 2005;1.263.819
Todas las edades;02 Aragón;Total;1 de enero de 2005;1.255.078
Todas las edades;02 Aragón;Total;1 de julio de 2004;1.244.499
Todas las edades;02 Aragón;Total;1 de enero de 2004;1.237.793
Todas las edades;02 Aragón;Total;1 de julio de 2003;1.231.371
Todas las edades;02 Aragón;Total;1 de enero de 2003;1.225.563
Todas las edades;02 Aragón;Total;1 de julio de 2002;1.217.557
Todas las edades;02 Aragón;Total;1 de enero de 2002;1.209.917
Todas las edades;02 Aragón;Total;1 de julio de 2001;1.203.180
Todas las edades;02 Aragón;Total;1 de enero de 2001;1.202.015
Todas las edades;02 Aragón;Total;1 de julio de 2000;1.200.765
Todas las edades;02 Aragón;Total;1 de enero de 2000;1.200.200
Todas las edades;02 Aragón;Hombres;1 de julio de 2020;657.892
Todas las edades;02 Aragón;Hombres;1 de enero de 2020;657.279
